configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,103.634,103.634,0.0,103.634,103.634,103.634,103.634
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,110.289,110.289,0.0,110.289,110.289,110.289,110.289
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,104.018,104.018,0.0,104.018,104.018,104.018,104.018
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,117.059,117.059,0.0,117.059,117.059,117.059,117.059
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,114.104,114.104,0.0,114.104,114.104,114.104,114.104
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,123.382,123.382,0.0,123.382,123.382,123.382,123.382
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,113.77,113.77,0.0,113.77,113.77,113.77,113.77
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.041,114.041,0.0,114.041,114.041,114.041,114.041
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.646,114.646,0.0,114.646,114.646,114.646,114.646
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,119.441,119.441,0.0,119.441,119.441,119.441,119.441
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,102.134,102.134,0.0,102.134,102.134,102.134,102.134
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.336,114.336,0.0,114.336,114.336,114.336,114.336
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,109.429,109.429,0.0,109.429,109.429,109.429,109.429
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,119.458,119.458,0.0,119.458,119.458,119.458,119.458
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,104.678,104.678,0.0,104.678,104.678,104.678,104.678
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,103.995,103.995,0.0,103.995,103.995,103.995,103.995
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,103.704,103.704,0.0,103.704,103.704,103.704,103.704
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,119.393,119.393,0.0,119.393,119.393,119.393,119.393
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,123.345,123.345,0.0,123.345,123.345,123.345,123.345
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,103.876,103.876,0.0,103.876,103.876,103.876,103.876
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,103.731,103.731,0.0,103.731,103.731,103.731,103.731
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.823,114.823,0.0,114.823,114.823,114.823,114.823
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,103.803,103.803,0.0,103.803,103.803,103.803,103.803
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.581,114.581,0.0,114.581,114.581,114.581,114.581
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,119.602,119.602,0.0,119.602,119.602,119.602,119.602
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,123.315,123.315,0.0,123.315,123.315,123.315,123.315
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,105.526,105.526,0.0,105.526,105.526,105.526,105.526
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,113.994,113.994,0.0,113.994,113.994,113.994,113.994
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,106.419,106.419,0.0,106.419,106.419,106.419,106.419
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,123.26,123.26,0.0,123.26,123.26,123.26,123.26
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.676,114.676,0.0,114.676,114.676,114.676,114.676
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,117.549,117.549,0.0,117.549,117.549,117.549,117.549
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,103.816,103.816,0.0,103.816,103.816,103.816,103.816
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.339,114.339,0.0,114.339,114.339,114.339,114.339
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,123.348,123.348,0.0,123.348,123.348,123.348,123.348
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,114.771,114.771,0.0,114.771,114.771,114.771,114.771
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,35.752,35.752,0.0,35.752,35.752,35.752,35.752
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.009,44.009,0.0,44.009,44.009,44.009,44.009
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.876,44.876,0.0,44.876,44.876,44.876,44.876
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.682,44.682,0.0,44.682,44.682,44.682,44.682
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.647,44.647,0.0,44.647,44.647,44.647,44.647
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,45.117,45.117,0.0,45.117,45.117,45.117,45.117
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,33.345,33.345,0.0,33.345,33.345,33.345,33.345
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,35.75,35.75,0.0,35.75,35.75,35.75,35.75
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,35.642,35.642,0.0,35.642,35.642,35.642,35.642
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,41.969,41.969,0.0,41.969,41.969,41.969,41.969
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.925,44.925,0.0,44.925,44.925,44.925,44.925
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.011,44.011,0.0,44.011,44.011,44.011,44.011
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.139,44.139,0.0,44.139,44.139,44.139,44.139
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,28.501,28.501,0.0,28.501,28.501,28.501,28.501
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,36.915,36.915,0.0,36.915,36.915,36.915,36.915
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,27.668,27.668,0.0,27.668,27.668,27.668,27.668
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,32.248,32.248,0.0,32.248,32.248,32.248,32.248
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.927,44.927,0.0,44.927,44.927,44.927,44.927
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.141,44.141,0.0,44.141,44.141,44.141,44.141
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.864,44.864,0.0,44.864,44.864,44.864,44.864
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,45.036,45.036,0.0,45.036,45.036,45.036,45.036
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.811,44.811,0.0,44.811,44.811,44.811,44.811
