configuration,attenuation (dB),packet size (B),mean (ms),median (ms),std (ms),min (ms),max (ms),q1 (ms),q3 (ms)
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,32.0,30.492,5.878,22.565,44.945,27.777,35.541
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,30.801,29.304,5.666,24.578,53.373,27.483,33.372
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,30.744,29.273,5.468,26.496,51.869,28.248,30.681
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,64.722,47.844,37.952,24.371,148.585,34.536,89.23
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,52.903,36.76,34.764,27.9,170.592,31.268,57.393
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,75.7,42.299,52.49,25.338,162.561,31.002,127.427
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,167.067,110.752,117.792,55.276,432.578,97.295,223.89
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,221.935,203.8,118.473,82.316,425.105,106.292,317.137
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,284.036,278.458,131.566,73.63,455.093,132.644,406.684
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,544.225,539.055,25.326,522.291,643.886,532.916,544.31
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,560.905,540.984,69.407,520.067,832.198,537.504,544.147
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,575.024,569.676,26.137,549.664,678.849,564.822,573.774
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,29.732,29.408,3.863,22.543,36.711,26.77,33.192
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,30.184,30.394,3.985,23.197,40.873,27.702,31.806
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,29.398,28.946,2.895,25.557,35.875,27.313,30.734
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,31.867,29.704,10.415,24.764,85.276,28.025,32.022
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,31.535,30.265,5.425,23.203,42.29,27.222,35.004
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,44.352,34.018,30.966,25.385,173.55,30.543,39.014
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,102.203,99.382,20.709,63.303,160.835,91.714,116.087
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,106.38,97.115,38.764,74.867,259.914,90.464,107.374
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,154.506,99.38,121.011,51.97,420.866,65.402,149.915
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,524.953,517.054,26.076,498.084,588.805,508.294,525.69
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,547.398,526.757,42.059,496.788,632.148,512.889,582.377
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,537.438,537.844,7.236,524.089,552.405,532.713,542.155
