configuration,attenuation (dB),packet size (B),mean,median,std,min,max,q1,q3
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,16.164,17.2,2.52,9.2,18.2,16.1,17.8
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,16.244,17.2,2.581,5.0,18.2,16.1,17.7
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,7.619,9.1,1.937,4.4,13.6,5.0,9.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,8.084,9.1,2.206,3.0,18.55,6.925,9.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,8.475,9.1,1.028,5.5,9.4,7.0,9.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,21.689,21.0,2.463,13.5,26.8,20.2,24.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,21.61,21.0,1.919,13.9,25.6,20.5,22.8
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,22.097,21.0,2.624,13.85,26.7,20.0,25.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,21.141,21.0,1.488,13.5,25.2,20.5,21.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,21.389,21.0,1.603,11.45,24.5,20.4,23.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,21.2,21.1,2.051,12.9,24.1,20.3,23.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,16.921,17.4,1.521,9.4,22.8,16.4,17.9
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,16.136,16.7,1.794,9.75,18.2,15.0,17.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,16.39,16.8,1.439,9.5,18.2,15.625,17.4
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,8.554,9.0,1.317,5.2,18.1,7.5,9.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,7.852,9.0,1.634,4.4,17.15,6.5,9.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,7.064,7.25,2.026,4.45,9.4,5.0,9.1
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,21.722,21.1,2.695,12.6,27.0,19.6,24.0
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,20.96,21.0,2.709,11.25,26.1,19.2,22.6
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,20.961,21.0,1.962,12.7,25.8,19.7,21.812
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,19.438,19.7,2.369,9.05,24.0,18.0,21.0
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,20.705,20.9,1.683,11.5,25.75,20.0,21.2
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,19.656,19.9,2.146,10.85,23.9,18.3,21.1
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,16.048,16.9,2.545,5.0,22.8,15.7,17.5
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,16.472,17.1,1.825,7.45,18.2,16.1,17.6
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,16.822,17.1,1.415,10.0,18.2,16.7,17.5
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,7.649,8.5,1.503,5.0,13.7,6.0,8.9
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,7.983,8.9,1.975,3.25,18.0,6.15,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,7.915,8.7,1.539,2.5,9.0,7.15,9.0
