configuration,attenuation (dB),packet size (B),mean,median,std,min,max,q1,q3
pb-178-ul-highTp-defCSI-sr-per-1.cfg,0,56,23.0,23.0,1.635,15.65,25.9,21.4,24.2
pb-178-ul-highTp-defCSI-prach-128.cfg,0,56,23.345,23.0,2.048,15.3,26.8,21.3,25.3
pb-178-ul-highTp-defCSI-no-trs.cfg,0,56,22.443,22.7,1.471,15.35,26.05,21.4,23.1
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1.cfg,0,56,22.24,22.0,1.95,11.65,26.25,21.3,23.8
pb-178-ul-highTp-defCSI-rx-to-tx-lat-4.cfg,0,56,23.212,23.1,1.642,15.05,26.4,22.1,24.6
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,56,22.593,22.2,1.97,14.75,27.0,21.3,24.2
pb-178-ul-highTp-defCSI-rx-to-tx-lat-2.cfg,0,56,23.06,22.9,2.324,14.7,26.3,21.2,25.4
pb-178-ul-highTp-defCSI-20.cfg,0,56,24.254,24.4,1.033,16.15,25.8,24.3,24.5
pb-178-ul-highTp-defCSI.cfg,0,56,23.282,23.2,1.639,15.15,26.0,22.6,24.5
