PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=185 ms
24 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=181 ms
24 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=168 ms
24 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=175 ms
24 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=151 ms
24 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=141 ms
24 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=139 ms
24 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=140 ms
24 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=133 ms
24 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=133 ms
24 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=127 ms
24 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=128 ms
24 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=139 ms
24 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=146 ms
24 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=142 ms
24 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=138 ms
24 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=150 ms
24 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=138 ms
24 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=134 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=143 ms
24 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=138 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=133 ms
24 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=129 ms
24 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=118 ms
24 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=119 ms
24 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=119 ms
24 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=113 ms
24 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=108 ms
24 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=104 ms
24 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=101 ms
24 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=103 ms
24 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=110 ms
24 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=117 ms
24 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=121 ms
24 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=125 ms
24 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=133 ms
24 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=142 ms
24 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=131 ms
24 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=133 ms
24 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=128 ms
24 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=129 ms
24 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=123 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=121 ms
24 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=121 ms
24 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=118 ms
24 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=117 ms
24 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=114 ms
24 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=108 ms
24 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=110 ms
24 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=114 ms
24 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=99.8 ms
24 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=97.1 ms
24 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=97.1 ms
24 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=91.9 ms
24 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=88.4 ms
24 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=90.8 ms
24 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=89.2 ms
24 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=84.2 ms
24 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=83.3 ms
24 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=84.2 ms
24 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=80.1 ms
24 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=74.6 ms
24 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=71.9 ms
24 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=68.6 ms
24 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=70.3 ms
24 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=66.7 ms
24 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=68.2 ms
24 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=64.6 ms
24 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=68.6 ms
