PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=34.9 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=270 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=81.2 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=320 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=38.8 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=238 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=91.6 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=27.3 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=297 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=16.5 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=316 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=34.5 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=16.8 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=68.7 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=11.0 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=60.0 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=284 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=38.2 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=13.1 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=286 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=13.1 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=66.7 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=21.1 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=329 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=47.2 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=25.6 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=335 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=53.0 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=25.0 ms
520 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=305 ms
520 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=21.5 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=74.3 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=309 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=29.2 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=296 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=15.8 ms
520 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=64.4 ms
520 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=81.7 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=221 ms
520 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=58.7 ms
520 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=330 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=49.2 ms
520 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=287 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=22.9 ms
520 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=65.7 ms
520 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=26.8 ms
520 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=333 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=50.3 ms
520 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=37.5 ms
520 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=324 ms
520 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=45.0 ms
520 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=281 ms
520 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=35.4 ms
520 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=29.7 ms
520 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=77.3 ms
520 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=329 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=44.9 ms
520 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=81.1 ms
520 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=260 ms
520 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=340 ms
520 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=50.8 ms
520 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=295 ms
520 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=8.58 ms
520 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=31.2 ms
520 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=20.6 ms
520 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=19.1 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 68 received, 32% packet loss, time 19937ms
rtt min/avg/max/mdev = 8.581/131.851/340.044/125.058 ms, pipe 2
