PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=542 ms
1444 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=619 ms
1444 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=612 ms
1444 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=596 ms
1444 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=647 ms
1444 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=585 ms
1444 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=599 ms
1444 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=586 ms
1444 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=592 ms
1444 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=577 ms
1444 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=611 ms
1444 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=567 ms
1444 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=573 ms
1444 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=561 ms
1444 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=552 ms
1444 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=583 ms
1444 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=552 ms
1444 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=550 ms
1444 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=544 ms
1444 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=589 ms
1444 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=576 ms
1444 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=570 ms
1444 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=555 ms
1444 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=543 ms
1444 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=582 ms
1444 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=569 ms
1444 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=558 ms
1444 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=549 ms
1444 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=539 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=594 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=586 ms
1444 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=576 ms
1444 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=558 ms
1444 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=544 ms
1444 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=539 ms
1444 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=570 ms
1444 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=578 ms
1444 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=565 ms
1444 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=618 ms
1444 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=600 ms
1444 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=590 ms
1444 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=581 ms
1444 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=607 ms
1444 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=597 ms
1444 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=585 ms
1444 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=584 ms
1444 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=576 ms
1444 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=572 ms
1444 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=555 ms
1444 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=588 ms
1444 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=560 ms
1444 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=561 ms
1444 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=576 ms
1444 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=557 ms
1444 bytes from 192.168.123.2: icmp_seq=93 ttl=64 time=563 ms
1444 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=557 ms
1444 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=587 ms
1444 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=575 ms
1444 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=564 ms
1444 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=549 ms
1444 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=538 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 61 received, 39% packet loss, time 19987ms
rtt min/avg/max/mdev = 538.195/574.200/646.983/22.509 ms, pipe 4
