configuration,attenuation (dB),packet size (B),mean (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),median (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,83.7735,1.2424259014885586,78.175,84.843,83.738,84.1755,84.36575
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,82.90503333333335,1.4825089517281238,79.799,85.319,81.71925,82.893,84.27525
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,82.82266666666665,1.8049435435498515,76.105,85.603,82.4725,83.2,83.78975
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,78.09243333333333,11.045049937238488,52.35,85.364,80.54125,82.7605,84.70075
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,39.92576666666666,1.6669709197002913,35.216,41.482,39.96775,40.436,41.07325
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,38.764599999999994,2.469972449937099,34.029,41.565,36.5025,39.7625,40.866749999999996
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,41.04086666666668,0.2951136231601526,40.301,41.457,40.8995,41.077,41.275
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,83.13333333333331,0.9026165922714239,81.306,84.272,82.4,83.292,83.8755
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,83.31400000000001,0.7990389054444041,80.822,84.575,82.80675,83.4055,83.95975
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,83.49150000000002,1.0320353425517272,79.807,84.78,83.09625,83.72749999999999,84.23849999999999
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,82.31163333333333,2.161007547312187,78.32,84.86,80.84700000000001,83.15350000000001,84.107
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,83.47523333333332,1.7115955388191881,77.742,85.47,83.0325,83.9495,84.48525000000001
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,82.48196666666666,2.5408339315697304,77.346,85.218,80.674,83.8935,84.41050000000001
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,78.70453333333334,12.374922538896078,48.406,85.505,83.19749999999999,83.97649999999999,84.564
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,73.04883333333333,13.197699217152842,48.22,85.373,64.88475,80.513,83.6785
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,68.78616666666667,14.503078327419473,48.402,84.9,53.331,76.17750000000001,82.19725
