configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.059,23.059,0.0,23.059,23.059,23.059,23.059
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,48.662,48.662,0.0,48.662,48.662,48.662,48.662
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.06,23.06,0.0,23.06,23.06,23.06,23.06
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,49.015,49.015,0.0,49.015,49.015,49.015,49.015
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,43.779,43.779,0.0,43.779,43.779,43.779,43.779
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.057,23.057,0.0,23.057,23.057,23.057,23.057
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,41.415,41.415,0.0,41.415,41.415,41.415,41.415
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.057,23.057,0.0,23.057,23.057,23.057,23.057
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.06,23.06,0.0,23.06,23.06,23.06,23.06
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.062,23.062,0.0,23.062,23.062,23.062,23.062
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,25.841,25.841,0.0,25.841,25.841,25.841,25.841
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,62.221,62.221,0.0,62.221,62.221,62.221,62.221
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.058,23.058,0.0,23.058,23.058,23.058,23.058
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.06,23.06,0.0,23.06,23.06,23.06,23.06
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,62.646,62.646,0.0,62.646,62.646,62.646,62.646
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.062,23.062,0.0,23.062,23.062,23.062,23.062
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.059,23.059,0.0,23.059,23.059,23.059,23.059
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,33.689,33.689,0.0,33.689,33.689,33.689,33.689
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.056,23.056,0.0,23.056,23.056,23.056,23.056
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,62.652,62.652,0.0,62.652,62.652,62.652,62.652
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,35.313,35.313,0.0,35.313,35.313,35.313,35.313
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,29.56,29.56,0.0,29.56,29.56,29.56,29.56
