PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=42.7 ms
1444 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=38.3 ms
1444 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=55.2 ms
1444 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=46.6 ms
1444 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=45.5 ms
1444 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=60.3 ms
1444 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=64.3 ms
1444 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=43.2 ms
1444 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=47.5 ms
1444 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=67.7 ms
1444 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=49.8 ms
1444 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=50.8 ms
1444 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=56.8 ms
1444 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=66.2 ms
1444 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=63.0 ms
1444 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=56.2 ms
1444 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=49.7 ms
1444 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=60.4 ms
1444 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=50.2 ms
1444 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=49.3 ms
1444 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=43.2 ms
1444 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=87.3 ms
1444 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=51.9 ms
1444 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=342 ms
1444 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=218 ms
1444 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=188 ms
1444 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=154 ms
1444 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=137 ms
1444 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=57.7 ms
1444 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=380 ms
1444 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=204 ms
1444 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=172 ms
1444 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=122 ms
1444 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=104 ms
1444 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=62.8 ms
1444 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=67.9 ms
1444 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=50.7 ms
1444 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=245 ms
1444 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=200 ms
1444 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=176 ms
1444 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=155 ms
1444 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=134 ms
1444 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=112 ms
1444 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=78.8 ms
1444 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=51.2 ms
1444 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=83.6 ms
1444 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=57.8 ms
1444 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=66.8 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=59.9 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=53.0 ms
1444 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=46.6 ms
1444 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=38.8 ms
1444 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=164 ms
1444 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=136 ms
1444 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=104 ms
1444 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=70.2 ms
1444 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=47.2 ms
1444 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=61.8 ms
1444 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=52.9 ms
1444 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=351 ms
1444 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=174 ms
1444 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=142 ms
1444 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=128 ms
