PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=380 ms
24 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=375 ms
24 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=360 ms
24 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=342 ms
24 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=378 ms
24 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=380 ms
24 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=369 ms
24 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=366 ms
24 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=362 ms
24 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=515 ms
24 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=776 ms
24 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=822 ms
24 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=773 ms
24 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=794 ms
24 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=801 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=806 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=830 ms
24 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=887 ms
24 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=827 ms
24 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=826 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=820 ms
24 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=818 ms
24 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=815 ms
24 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=822 ms
24 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=814 ms
24 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=828 ms
24 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=881 ms
24 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=792 ms
24 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=855 ms
24 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=893 ms
24 bytes from 192.168.123.2: icmp_seq=77 ttl=64 time=864 ms
24 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=831 ms
24 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=841 ms
24 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=810 ms
24 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=825 ms
24 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=823 ms
24 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=866 ms
24 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=905 ms
24 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=908 ms
24 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=833 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 40 received, 60% packet loss, time 20046ms
rtt min/avg/max/mdev = 341.667/720.323/908.130/198.569 ms, pipe 5
