configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,97.05,98.04,4.937,87.707,105.594,94.673,100.098
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,96.016,96.26,4.111,87.883,104.559,92.712,98.69
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,96.694,97.918,6.799,85.694,107.255,89.678,102.325
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,97.173,98.335,3.041,90.915,102.538,94.614,99.205
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,97.196,97.354,3.119,90.202,103.469,95.618,98.922
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,97.492,96.943,6.227,90.069,123.464,93.655,99.688
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,121.745,122.604,2.478,115.661,125.103,120.584,123.274
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,120.379,122.398,7.253,88.963,124.559,121.154,123.28
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,122.744,123.164,1.571,119.557,125.122,121.666,124.108
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,73.0,76.916,6.025,57.042,78.055,67.951,77.293
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,68.954,74.212,10.332,48.453,78.029,63.836,77.371
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,63.139,63.07,14.204,48.34,77.79,48.468,77.622
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,101.968,102.489,4.954,91.242,110.906,98.49,104.738
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,100.893,102.01,6.009,89.957,110.527,96.174,104.967
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,102.098,102.037,4.912,94.061,112.136,98.286,105.352
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,103.717,103.892,3.096,98.04,111.239,101.454,105.51
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,107.043,105.176,5.494,100.35,121.738,102.998,110.846
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,107.607,107.503,3.955,102.465,121.006,104.636,109.704
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,119.492,122.458,9.37,85.4,124.565,119.557,123.291
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,117.904,121.8,9.853,88.025,124.5,120.392,122.454
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,119.996,122.089,10.044,68.217,124.745,120.85,123.268
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,67.458,71.953,10.715,49.535,77.51,54.622,77.248
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,69.945,76.894,12.36,40.331,77.573,66.991,77.272
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,73.235,77.336,6.707,61.379,77.794,70.716,77.524
