configuration,attenuation (dB),avg_throughput,std_throughput,avg_rtt,std_rtt
"AutoCSI: No TRS, SR Period = 1",0,84.22324444444445,0.4376893277196441,31.248,3.6296666666666666
"AutoCSI: No TRS, SR Period = 1",10,82.42291111111112,2.6128219443376484,132.28366666666668,63.077
"AutoCSI: No TRS, SR Period = 1",20,48.03834444444444,0.2422878683522133,438.60833333333335,5.784666666666666
"AutoCSI: No TRS, SR Period = 1",30,3.088488888888889,0.12104204046883134,7215.447999999999,479.36899999999997
AutoCsiTRSonSSB,0,83.31294444444444,0.911230280089185,31.18166666666667,5.6706666666666665
AutoCsiTRSonSSB,10,82.75627777777777,2.1378123392337014,64.44166666666666,41.73533333333334
AutoCsiTRSonSSB,20,73.51317777777778,13.358566694489463,224.346,122.61033333333334
AutoCsiTRSonSSB,30,38.85123333333333,0.10853353451330533,560.0513333333333,40.29
AutoCsiTRSonSSB: PRACH = 128,0,82.27576666666666,1.350583596370072,31.954666666666668,7.535
AutoCsiTRSonSSB: PRACH = 128,10,83.33413333333333,1.8257411190441684,45.10333333333333,25.538
AutoCsiTRSonSSB: PRACH = 128,20,71.88023333333334,14.940917553831937,240.702,134.4176666666667
AutoCsiTRSonSSB: PRACH = 128,30,38.77857777777778,0.2567225496670596,554.9106666666667,28.63566666666667
"AutoCsiTRSonSSB: SR Period = 1, USS",0,83.3253111111111,0.40188930297024705,29.77133333333333,3.581
"AutoCsiTRSonSSB: SR Period = 1, USS",10,84.00353333333332,0.6947625546174526,35.918,15.601999999999999
"AutoCsiTRSonSSB: SR Period = 1, USS",20,81.27337777777778,4.777500810838821,121.02966666666667,60.161333333333324
"AutoCsiTRSonSSB: SR Period = 1, USS",30,39.91041111111111,1.4773523309325143,536.5963333333333,25.123666666666665
LL: Rx to Tx = 4,0,85.34342222222223,0.2771262150881741,41.68866666666667,9.895333333333333
LL: Rx to Tx = 4,10,51.86823333333333,7.634812119490257,379.1023333333333,79.269
LL: Rx to Tx = 4,20,23.066822222222225,0.0016049913448974,881.4496666666668,91.117
LL: Rx to Tx = 4,30,3.017688888888889,0.43722950919183323,6861.0256666666655,1505.613
LL: SR Period = 1,0,82.62650000000001,2.9881250989319343,82.10466666666666,35.544333333333334
LL: SR Period = 1,10,41.80986666666667,8.37051222300749,527.2966666666666,111.54933333333332
LL: SR Period = 1,20,23.066933333333335,0.0019469635229054998,891.1016666666668,95.86066666666666
LL: SR Period = 1,30,2.994455555555556,0.4696529226542328,7368.915666666667,1319.4393333333335
