configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,163.501,163.501,0.0,163.501,163.501,163.501,163.501
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.637,165.637,0.0,165.637,165.637,165.637,165.637
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,71.761,71.761,0.0,71.761,71.761,71.761,71.761
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.636,165.636,0.0,165.636,165.636,165.636,165.636
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.665,165.665,0.0,165.665,165.665,165.665,165.665
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,111.804,111.804,0.0,111.804,111.804,111.804,111.804
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,148.393,148.393,0.0,148.393,148.393,148.393,148.393
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,151.429,151.429,0.0,151.429,151.429,151.429,151.429
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.578,165.578,0.0,165.578,165.578,165.578,165.578
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.631,165.631,0.0,165.631,165.631,165.631,165.631
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.619,165.619,0.0,165.619,165.619,165.619,165.619
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.404,165.404,0.0,165.404,165.404,165.404,165.404
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.415,165.415,0.0,165.415,165.415,165.415,165.415
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,163.627,163.627,0.0,163.627,163.627,163.627,163.627
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.565,165.565,0.0,165.565,165.565,165.565,165.565
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.649,165.649,0.0,165.649,165.649,165.649,165.649
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.463,165.463,0.0,165.463,165.463,165.463,165.463
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,163.644,163.644,0.0,163.644,163.644,163.644,163.644
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.493,165.493,0.0,165.493,165.493,165.493,165.493
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,121.379,121.379,0.0,121.379,121.379,121.379,121.379
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,145.97,145.97,0.0,145.97,145.97,145.97,145.97
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,153.553,153.553,0.0,153.553,153.553,153.553,153.553
